iter	Passed	Remaining
0	146	146816
1	148	74235
2	150	50048
3	152	38018
4	154	30827
5	156	25952
6	158	22500
7	160	19876
8	162	17855
9	164	16272
10	167	15070
11	169	13985
12	171	13028
13	173	12204
14	176	11586
15	180	11087
16	182	10544
17	184	10040
18	185	9588
19	188	9235
20	191	8928
21	193	8614
22	195	8303
23	197	8020
24	199	7786
25	202	7583
26	204	7370
27	206	7160
28	207	6962
29	209	6787
30	212	6643
31	215	6505
32	216	6354
33	218	6210
34	220	6088
35	223	5980
36	226	5898
37	229	5812
38	238	5878
39	240	5770
40	242	5667
41	244	5569
42	247	5514
43	249	5423
44	251	5336
45	253	5264
46	255	5184
47	259	5153
48	261	5076
49	263	5001
50	265	4933
51	266	4867
52	269	4818
53	272	4775
54	274	4719
55	276	4658
56	278	4600
57	282	4594
58	285	4561
59	288	4517
60	290	4464
61	293	4438
62	296	4416
63	301	4408
64	303	4365
65	306	4341
66	310	4326
67	311	4273
68	313	4230
69	315	4187
70	317	4153
71	323	4169
72	326	4145
73	328	4109
74	331	4084
75	334	4064
76	336	4033
77	338	3997
78	339	3961
79	341	3931
80	344	3902
81	346	3884
82	348	3854
83	350	3823
84	351	3786
85	354	3767
86	358	3760
87	360	3736
88	362	3711
89	364	3688
90	367	3673
91	370	3655
92	371	3627
93	373	3600
94	375	3573
95	377	3552
96	379	3537
97	381	3512
98	383	3487
99	384	3464
100	387	3446
101	388	3417
102	391	3410
103	393	3392
104	395	3372
105	397	3351
106	399	3332
107	402	3320
108	405	3311
109	407	3293
110	408	3273
111	410	3253
112	414	3254
113	417	3243
114	419	3227
115	421	3209
116	422	3192
117	426	3185
118	428	3171
119	430	3154
120	432	3140
121	434	3123
122	435	3101
123	441	3116
124	443	3101
125	444	3086
126	446	3070
127	448	3054
128	452	3052
129	454	3038
130	456	3025
131	457	3010
132	460	3000
133	462	2991
134	465	2981
135	467	2969
136	469	2954
137	470	2938
138	478	2963
139	480	2950
140	483	2943
141	484	2929
142	487	2923
143	490	2916
144	492	2902
145	494	2892
146	496	2879
147	498	2871
148	501	2862
149	502	2849
150	505	2839
151	506	2827
152	511	2829
153	512	2817
154	514	2805
155	516	2795
156	518	2783
157	521	2777
158	524	2772
159	525	2760
160	528	2751
161	529	2740
162	536	2754
163	539	2748
164	541	2738
165	543	2731
166	546	2726
167	549	2720
168	551	2710
169	553	2699
170	554	2689
171	557	2684
172	560	2677
173	562	2669
174	564	2659
175	565	2648
176	568	2645
177	571	2640
178	573	2632
179	575	2622
180	576	2609
181	578	2600
182	582	2598
183	584	2593
184	586	2584
185	588	2575
186	590	2566
187	592	2560
188	595	2555
189	597	2549
190	599	2540
191	601	2531
192	604	2525
193	605	2517
194	608	2512
195	610	2505
196	614	2505
197	616	2497
198	618	2490
199	620	2482
200	622	2474
201	626	2474
202	628	2465
203	629	2457
204	632	2451
205	634	2444
206	639	2448
207	641	2440
208	642	2432
209	644	2424
210	646	2418
211	651	2419
212	652	2412
213	654	2404
214	656	2396
215	658	2390
216	661	2385
217	664	2381
218	665	2375
219	667	2367
220	669	2359
221	673	2361
222	676	2355
223	678	2349
224	679	2341
225	681	2334
226	684	2332
227	688	2330
228	690	2325
229	692	2317
230	694	2310
231	697	2308
232	700	2305
233	702	2298
234	704	2291
235	705	2284
236	708	2279
237	714	2286
238	716	2280
239	718	2274
240	719	2267
241	722	2262
242	724	2256
243	726	2249
244	729	2246
245	731	2243
246	738	2251
247	740	2246
248	742	2240
249	745	2237
250	752	2244
251	754	2238
252	756	2233
253	758	2227
254	764	2233
255	766	2226
256	768	2221
257	770	2216
258	776	2221
259	778	2216
260	780	2210
261	782	2204
262	785	2202
263	788	2199
264	791	2194
265	793	2188
266	794	2181
267	798	2181
268	801	2178
269	803	2172
270	805	2166
271	806	2159
272	810	2157
273	814	2157
274	816	2152
275	818	2146
276	820	2140
277	825	2142
278	827	2137
279	829	2133
280	831	2127
281	833	2121
282	835	2117
283	837	2111
284	839	2106
285	841	2100
286	847	2106
287	850	2101
288	852	2097
289	854	2092
290	858	2092
291	861	2089
292	864	2085
293	866	2080
294	869	2077
295	874	2080
296	876	2074
297	878	2068
298	880	2064
299	883	2061
300	887	2060
301	888	2054
302	890	2048
303	893	2044
304	895	2040
305	898	2038
306	900	2033
307	902	2027
308	903	2021
309	911	2029
310	914	2025
311	917	2022
312	920	2020
313	923	2016
314	924	2011
315	927	2006
316	928	2001
317	931	1997
318	934	1994
319	935	1988
320	937	1984
321	940	1979
322	942	1976
323	946	1973
324	948	1969
325	949	1963
326	951	1958
327	955	1957
328	959	1956
329	961	1951
330	963	1946
331	964	1940
332	967	1938
333	970	1935
334	972	1930
335	974	1925
336	976	1920
337	979	1917
338	983	1917
339	985	1913
340	987	1908
341	989	1902
342	992	1900
343	994	1896
344	997	1893
345	999	1889
346	1001	1884
347	1003	1879
348	1007	1878
349	1009	1873
350	1011	1871
351	1014	1867
352	1016	1863
353	1019	1860
354	1020	1855
355	1023	1850
356	1024	1845
357	1027	1842
358	1030	1839
359	1032	1834
360	1034	1831
361	1036	1826
362	1039	1825
363	1042	1821
364	1044	1817
365	1046	1813
366	1048	1808
367	1050	1804
368	1052	1800
369	1054	1795
370	1056	1791
371	1058	1787
372	1063	1788
373	1065	1784
374	1067	1779
375	1069	1775
376	1071	1770
377	1075	1769
378	1077	1765
379	1079	1760
380	1081	1756
381	1082	1752
382	1087	1752
383	1090	1748
384	1092	1745
385	1094	1740
386	1096	1736
387	1099	1733
388	1102	1731
389	1104	1727
390	1106	1722
391	1107	1718
392	1110	1715
393	1113	1712
394	1115	1707
395	1117	1703
396	1118	1699
397	1121	1696
398	1123	1691
399	1125	1687
400	1127	1683
401	1128	1679
402	1131	1676
403	1134	1674
404	1137	1670
405	1138	1666
406	1140	1661
407	1143	1659
408	1146	1656
409	1148	1652
410	1150	1648
411	1152	1644
412	1155	1642
413	1158	1640
414	1160	1636
415	1162	1632
416	1164	1628
417	1167	1625
418	1172	1625
419	1174	1621
420	1176	1617
421	1177	1613
422	1181	1611
423	1184	1608
424	1186	1605
425	1188	1601
426	1190	1596
427	1197	1600
428	1199	1595
429	1202	1594
430	1209	1596
431	1211	1592
432	1212	1588
433	1214	1584
434	1216	1580
435	1218	1576
436	1222	1574
437	1224	1570
438	1225	1566
439	1227	1562
440	1232	1562
441	1234	1558
442	1236	1555
443	1238	1550
444	1240	1546
445	1244	1546
446	1247	1543
447	1250	1540
448	1251	1536
449	1253	1532
450	1256	1529
451	1259	1527
452	1261	1523
453	1263	1519
454	1265	1515
455	1267	1511
456	1269	1507
457	1271	1504
458	1273	1500
459	1274	1496
460	1278	1494
461	1280	1491
462	1282	1487
463	1287	1487
464	1290	1484
465	1296	1485
466	1299	1482
467	1301	1479
468	1303	1476
469	1305	1472
470	1307	1468
471	1309	1465
472	1311	1461
473	1314	1458
474	1316	1454
475	1318	1451
476	1320	1448
477	1323	1444
478	1325	1441
479	1332	1443
480	1334	1440
481	1336	1436
482	1338	1432
483	1340	1428
484	1347	1430
485	1349	1427
486	1356	1428
487	1358	1424
488	1359	1421
489	1361	1417
490	1363	1413
491	1369	1414
492	1371	1410
493	1373	1406
494	1375	1403
495	1378	1400
496	1380	1397
497	1382	1393
498	1383	1389
499	1385	1385
500	1389	1384
501	1391	1380
502	1393	1376
503	1395	1372
504	1397	1369
505	1404	1370
506	1406	1367
507	1408	1363
508	1409	1360
509	1414	1358
510	1416	1355
511	1418	1351
512	1419	1347
513	1421	1344
514	1427	1344
515	1429	1341
516	1431	1337
517	1433	1333
518	1435	1330
519	1438	1328
520	1441	1324
521	1442	1321
522	1444	1317
523	1446	1314
524	1449	1311
525	1450	1307
526	1452	1303
527	1454	1300
528	1457	1298
529	1460	1294
530	1461	1291
531	1463	1287
532	1465	1283
533	1469	1282
534	1472	1279
535	1474	1276
536	1476	1272
537	1478	1269
538	1482	1267
539	1484	1264
540	1485	1260
541	1487	1256
542	1489	1253
543	1493	1251
544	1497	1250
545	1499	1246
546	1500	1242
547	1502	1239
548	1505	1236
549	1508	1233
550	1509	1230
551	1511	1226
552	1513	1223
553	1516	1220
554	1519	1218
555	1521	1215
556	1523	1211
557	1525	1208
558	1527	1205
559	1531	1203
560	1533	1200
561	1535	1196
562	1536	1192
563	1539	1189
564	1543	1188
565	1545	1184
566	1546	1181
567	1548	1177
568	1550	1174
569	1556	1173
570	1558	1170
571	1559	1167
572	1561	1163
573	1563	1160
574	1569	1159
575	1571	1156
576	1573	1153
577	1574	1149
578	1577	1146
579	1581	1145
580	1583	1141
581	1585	1138
582	1586	1135
583	1589	1131
584	1592	1129
585	1594	1126
586	1596	1123
587	1597	1119
588	1600	1116
589	1605	1115
590	1607	1112
591	1609	1109
592	1611	1105
593	1613	1102
594	1618	1101
595	1620	1098
596	1621	1094
597	1623	1091
598	1625	1088
599	1629	1086
600	1631	1083
601	1633	1080
602	1635	1076
603	1637	1073
604	1640	1070
605	1641	1067
606	1643	1064
607	1645	1060
608	1647	1057
609	1649	1054
610	1651	1051
611	1654	1048
612	1656	1045
613	1664	1046
614	1666	1043
615	1668	1040
616	1670	1036
617	1674	1035
618	1676	1032
619	1678	1028
620	1680	1025
621	1682	1022
622	1686	1020
623	1688	1017
624	1689	1013
625	1691	1010
626	1693	1007
627	1696	1005
628	1698	1002
629	1700	998
630	1702	995
631	1704	992
632	1709	991
633	1711	987
634	1713	984
635	1714	981
636	1717	978
637	1722	977
638	1724	974
639	1725	970
640	1727	967
641	1729	964
642	1732	962
643	1735	959
644	1736	955
645	1738	952
646	1740	949
647	1746	948
648	1748	945
649	1750	942
650	1752	939
651	1755	936
652	1759	934
653	1761	931
654	1762	928
655	1764	925
656	1766	922
657	1770	920
658	1772	917
659	1774	914
660	1776	911
661	1779	908
662	1782	905
663	1783	902
664	1785	899
665	1787	896
666	1789	893
667	1791	890
668	1793	887
669	1795	884
670	1797	881
671	1803	880
672	1804	876
673	1806	873
674	1808	870
675	1810	867
676	1816	866
677	1818	863
678	1820	860
679	1822	857
680	1824	854
681	1828	852
682	1830	849
683	1832	846
684	1833	843
685	1835	840
686	1841	839
687	1843	836
688	1845	832
689	1847	829
690	1849	826
691	1853	825
692	1855	822
693	1857	818
694	1859	815
695	1861	813
696	1865	810
697	1867	807
698	1868	804
699	1870	801
700	1872	798
701	1876	796
702	1878	793
703	1880	790
704	1882	787
705	1884	784
706	1890	783
707	1892	780
708	1894	777
709	1895	774
710	1897	771
711	1901	769
712	1903	766
713	1905	763
714	1906	760
715	1909	757
716	1913	755
717	1915	752
718	1916	749
719	1918	746
720	1921	743
721	1924	741
722	1926	738
723	1928	735
724	1930	732
725	1932	729
726	1936	727
727	1938	724
728	1939	721
729	1941	718
730	1943	715
731	1947	713
732	1950	710
733	1951	707
734	1953	704
735	1955	701
736	1962	700
737	1965	697
738	1967	694
739	1969	692
740	1976	690
741	1977	687
742	1979	684
743	1981	681
744	1983	678
745	1986	676
746	1988	673
747	1990	670
748	1992	667
749	1994	664
750	1999	662
751	2000	659
752	2002	656
753	2004	654
754	2006	651
755	2010	648
756	2012	645
757	2014	643
758	2015	640
759	2020	637
760	2023	635
761	2024	632
762	2026	629
763	2028	626
764	2034	624
765	2035	621
766	2037	618
767	2039	616
768	2041	613
769	2046	611
770	2047	608
771	2049	605
772	2051	602
773	2053	599
774	2058	597
775	2060	594
776	2062	591
777	2064	589
778	2066	586
779	2073	584
780	2075	582
781	2077	579
782	2079	576
783	2082	573
784	2085	571
785	2087	568
786	2089	565
787	2090	562
788	2093	559
789	2096	557
790	2098	554
791	2100	551
792	2101	548
793	2103	545
794	2110	544
795	2111	541
796	2113	538
797	2115	535
798	2117	532
799	2121	530
800	2123	527
801	2125	524
802	2127	521
803	2129	519
804	2130	516
805	2132	513
806	2134	510
807	2136	507
808	2138	504
809	2139	501
810	2141	499
811	2143	496
812	2145	493
813	2146	490
814	2150	488
815	2151	485
816	2154	482
817	2155	479
818	2157	476
819	2160	474
820	2162	471
821	2164	468
822	2166	465
823	2168	463
824	2174	461
825	2175	458
826	2177	455
827	2179	452
828	2181	450
829	2186	447
830	2188	445
831	2189	442
832	2191	439
833	2193	436
834	2197	434
835	2199	431
836	2201	428
837	2203	425
838	2205	423
839	2211	421
840	2213	418
841	2215	415
842	2217	412
843	2219	410
844	2222	407
845	2225	405
846	2226	402
847	2228	399
848	2230	396
849	2236	394
850	2238	391
851	2239	389
852	2241	386
853	2243	383
854	2248	381
855	2250	378
856	2252	375
857	2253	373
858	2255	370
859	2264	368
860	2266	365
861	2268	363
862	2270	360
863	2274	358
864	2276	355
865	2278	352
866	2279	349
867	2282	347
868	2285	344
869	2287	341
870	2289	339
871	2291	336
872	2293	333
873	2297	331
874	2299	328
875	2301	325
876	2303	323
877	2305	320
878	2310	318
879	2312	315
880	2313	312
881	2315	309
882	2317	307
883	2323	304
884	2325	302
885	2327	299
886	2329	296
887	2331	294
888	2335	291
889	2337	288
890	2339	286
891	2341	283
892	2343	280
893	2347	278
894	2349	275
895	2351	272
896	2352	270
897	2355	267
898	2359	265
899	2362	262
900	2364	259
901	2366	257
902	2371	254
903	2373	252
904	2375	249
905	2377	246
906	2378	243
907	2384	241
