iter	Passed	Remaining
0	138	138076
1	139	69722
2	141	46953
3	142	35556
4	144	28728
5	148	24525
6	149	21232
7	151	18749
8	152	16818
9	154	15271
10	155	14002
11	157	12947
12	158	12054
13	162	11466
14	164	10798
15	165	10206
16	167	9683
17	168	9217
18	170	8801
19	171	8427
20	173	8089
21	177	7880
22	178	7598
23	180	7335
24	181	7095
25	183	6871
26	184	6662
27	186	6471
28	187	6291
29	190	6143
30	191	6000
31	193	5855
32	195	5719
33	196	5595
34	199	5486
35	200	5371
36	202	5261
37	205	5198
38	207	5101
39	208	5006
40	210	4915
41	211	4830
42	213	4747
43	214	4667
44	216	4591
45	219	4556
46	221	4488
47	222	4421
48	224	4363
49	226	4303
50	228	4244
51	229	4185
52	231	4129
53	234	4103
54	235	4054
55	237	4002
56	239	3955
57	240	3908
58	242	3864
59	243	3822
60	245	3779
61	248	3752
62	250	3721
63	251	3684
64	253	3645
65	254	3607
66	256	3573
67	258	3539
68	259	3505
69	261	3477
70	264	3463
71	266	3432
72	267	3402
73	269	3371
74	270	3342
75	272	3313
76	274	3284
77	275	3256
78	278	3249
79	280	3229
80	282	3205
81	284	3181
82	285	3149
83	288	3147
84	292	3147
85	295	3136
86	297	3122
87	299	3100
88	300	3079
89	303	3065
90	304	3045
91	308	3045
92	310	3030
93	312	3011
94	314	2993
95	316	2975
96	317	2956
97	319	2937
98	323	2945
99	325	2929
100	327	2912
101	333	2935
102	335	2920
103	339	2927
104	342	2917
105	343	2900
106	345	2885
107	349	2887
108	355	2904
109	357	2892
110	359	2876
111	362	2875
112	364	2863
113	369	2872
114	372	2868
115	374	2856
116	377	2845
117	379	2839
118	385	2854
119	389	2854
120	390	2840
121	392	2823
122	396	2823
123	399	2824
124	402	2814
125	403	2799
126	405	2784
127	407	2776
128	415	2802
129	417	2796
130	419	2783
131	421	2772
132	423	2758
133	429	2775
134	431	2767
135	433	2755
136	435	2742
137	437	2730
138	441	2737
139	445	2735
140	447	2727
141	449	2713
142	454	2723
143	458	2725
144	460	2714
145	464	2717
146	471	2737
147	475	2739
148	478	2730
149	480	2723
150	490	2755
151	492	2745
152	493	2732
153	495	2720
154	496	2707
155	500	2707
156	502	2699
157	504	2690
158	506	2678
159	508	2667
160	509	2652
161	510	2641
162	513	2634
163	516	2630
164	518	2623
165	520	2612
166	521	2602
167	523	2591
168	524	2580
169	529	2583
170	531	2576
171	533	2566
172	535	2561
173	537	2550
174	538	2540
175	541	2536
176	545	2537
177	547	2528
178	549	2518
179	550	2509
180	552	2499
181	554	2490
182	559	2498
183	561	2491
184	563	2481
185	564	2472
186	566	2463
187	568	2454
188	569	2444
189	573	2444
190	575	2437
191	577	2428
192	578	2419
193	580	2410
194	581	2400
195	583	2391
196	587	2393
197	589	2387
198	591	2379
199	592	2370
200	594	2361
201	595	2352
202	597	2344
203	598	2335
204	604	2342
205	605	2333
206	607	2325
207	608	2317
208	610	2309
209	611	2300
210	613	2293
211	618	2298
212	620	2291
213	621	2283
214	623	2275
215	624	2267
216	626	2259
217	627	2251
218	629	2245
219	632	2240
220	633	2233
221	635	2225
222	636	2218
223	638	2210
224	639	2203
225	641	2196
226	643	2189
227	647	2193
228	649	2185
229	650	2178
230	652	2171
231	654	2164
232	655	2158
233	657	2151
234	660	2150
235	662	2145
236	664	2139
237	666	2132
238	667	2125
239	669	2120
240	671	2113
241	672	2107
242	675	2105
243	677	2098
244	678	2092
245	680	2085
246	682	2079
247	683	2072
248	685	2066
249	686	2060
250	688	2054
251	691	2051
252	692	2045
253	694	2039
254	695	2032
255	697	2026
256	698	2020
257	700	2014
258	701	2008
259	705	2008
260	707	2002
261	708	1997
262	711	1992
263	712	1987
264	714	1981
265	715	1975
266	717	1969
267	719	1964
268	720	1958
269	722	1953
270	723	1947
271	725	1941
272	727	1936
273	728	1931
274	730	1925
275	733	1924
276	735	1918
277	736	1913
278	738	1908
279	740	1903
280	741	1897
281	743	1892
282	744	1887
283	747	1883
284	749	1880
285	751	1875
286	753	1870
287	755	1868
288	757	1863
289	761	1865
290	763	1860
291	765	1855
292	766	1849
293	768	1844
294	769	1839
295	771	1834
296	772	1829
297	776	1828
298	777	1823
299	779	1818
300	780	1813
301	782	1809
302	784	1804
303	785	1799
304	787	1793
305	790	1793
306	792	1788
307	793	1783
308	795	1778
309	797	1774
310	799	1770
311	800	1765
312	802	1760
313	806	1761
314	807	1756
315	809	1752
316	811	1747
317	812	1743
318	814	1738
319	815	1733
320	817	1729
321	819	1725
322	820	1720
323	822	1716
324	824	1712
325	826	1707
326	827	1703
327	829	1698
328	831	1695
329	833	1691
330	835	1689
331	837	1685
332	840	1683
333	842	1680
334	844	1677
335	849	1678
336	850	1674
337	852	1669
338	853	1664
339	855	1660
340	856	1656
341	858	1651
342	860	1647
343	863	1646
344	864	1641
345	866	1637
346	867	1633
347	869	1628
348	870	1624
349	872	1620
350	873	1615
351	876	1614
352	878	1610
353	879	1605
354	881	1601
355	883	1597
356	884	1593
357	886	1589
358	887	1585
359	892	1586
360	893	1582
361	895	1577
362	896	1573
363	898	1569
364	899	1565
365	901	1561
366	903	1557
367	905	1554
368	907	1551
369	909	1547
370	910	1544
371	912	1539
372	913	1535
373	915	1531
374	916	1527
375	918	1523
376	921	1523
377	923	1519
378	924	1515
379	926	1511
380	927	1507
381	929	1503
382	931	1499
383	932	1495
384	935	1494
385	937	1491
386	939	1487
387	940	1483
388	942	1480
389	944	1477
390	945	1473
391	947	1469
392	950	1467
393	952	1464
394	953	1460
395	955	1456
396	956	1453
397	958	1449
398	959	1445
399	961	1442
400	963	1438
401	965	1436
402	967	1432
403	968	1429
404	970	1425
405	972	1422
406	973	1418
407	975	1415
408	976	1411
409	979	1410
410	981	1406
411	983	1403
412	984	1399
413	986	1396
414	987	1392
415	989	1388
416	990	1385
417	993	1383
418	995	1380
419	997	1376
420	998	1373
421	1000	1369
422	1001	1366
423	1003	1362
424	1004	1359
425	1006	1355
426	1009	1354
427	1010	1350
428	1012	1347
429	1013	1343
430	1015	1340
431	1016	1336
432	1018	1333
433	1019	1329
434	1021	1326
435	1024	1324
436	1025	1321
437	1027	1318
438	1029	1314
439	1030	1311
440	1032	1308
441	1033	1305
442	1035	1301
443	1038	1300
444	1040	1297
445	1041	1293
446	1043	1290
447	1044	1287
448	1046	1284
449	1047	1280
450	1049	1277
451	1052	1276
452	1054	1273
453	1056	1269
454	1057	1266
455	1059	1263
456	1060	1260
457	1062	1256
458	1063	1253
459	1065	1250
460	1067	1248
461	1069	1245
462	1071	1242
463	1073	1239
464	1074	1236
465	1076	1233
466	1077	1229
467	1079	1226
468	1082	1225
469	1083	1222
470	1085	1219
471	1087	1216
472	1088	1212
473	1090	1209
474	1091	1206
475	1093	1203
476	1095	1201
477	1097	1198
478	1099	1195
479	1100	1192
480	1102	1189
481	1103	1186
482	1105	1183
483	1106	1180
484	1108	1176
485	1112	1176
486	1113	1173
487	1115	1170
488	1116	1166
489	1118	1163
490	1119	1160
491	1121	1157
492	1122	1154
493	1126	1153
494	1127	1150
495	1129	1147
496	1131	1144
497	1132	1141
498	1134	1139
499	1136	1136
500	1137	1133
501	1141	1132
502	1142	1129
503	1144	1126
504	1145	1123
505	1147	1120
506	1148	1117
507	1150	1114
508	1152	1111
509	1155	1110
510	1156	1107
511	1158	1104
512	1160	1101
513	1161	1098
514	1163	1095
515	1164	1092
516	1166	1089
517	1167	1086
518	1170	1085
519	1172	1082
520	1173	1079
521	1175	1076
522	1176	1073
523	1178	1070
524	1179	1067
525	1181	1064
526	1184	1063
527	1186	1060
528	1187	1057
529	1189	1054
530	1190	1051
531	1192	1048
532	1193	1045
533	1195	1043
534	1197	1040
535	1199	1038
536	1201	1035
537	1203	1033
538	1205	1030
539	1207	1028
540	1208	1025
541	1210	1023
542	1215	1023
543	1218	1021
544	1219	1018
545	1221	1015
546	1223	1013
547	1225	1010
548	1226	1007
549	1229	1006
550	1231	1003
551	1232	1000
552	1234	997
553	1236	995
554	1237	992
555	1239	989
556	1240	986
557	1243	985
558	1245	982
559	1246	979
560	1248	976
561	1250	974
562	1251	971
563	1252	968
564	1254	965
565	1256	963
566	1259	961
567	1260	958
568	1262	955
569	1263	953
570	1265	950
571	1266	948
572	1268	945
573	1270	942
574	1273	941
575	1274	938
576	1276	935
577	1277	933
578	1279	930
579	1280	927
580	1282	924
581	1283	922
582	1285	919
583	1288	917
584	1289	914
585	1291	912
586	1292	909
587	1294	906
588	1295	904
589	1297	901
590	1298	898
591	1302	897
592	1304	895
593	1306	892
594	1307	890
595	1309	887
596	1310	884
597	1312	882
598	1313	879
599	1316	877
600	1318	875
601	1320	872
602	1321	870
603	1323	867
604	1325	865
605	1326	862
606	1328	859
607	1331	858
608	1333	855
609	1334	853
610	1335	850
611	1337	848
612	1339	845
613	1340	843
614	1342	840
615	1344	838
616	1347	836
617	1348	833
618	1350	831
619	1352	828
620	1353	826
621	1355	823
622	1356	820
623	1358	818
624	1360	816
625	1362	814
626	1364	811
627	1365	808
628	1367	806
629	1368	803
630	1370	801
631	1371	798
632	1373	796
633	1375	794
634	1377	791
635	1378	789
636	1380	786
637	1381	784
638	1383	781
639	1384	778
640	1386	776
641	1389	774
642	1391	772
643	1392	769
644	1394	767
645	1396	765
646	1397	762
647	1399	759
648	1400	757
649	1402	755
650	1404	752
651	1406	750
652	1408	748
653	1409	745
654	1411	743
655	1413	741
656	1415	738
657	1418	737
658	1420	734
659	1421	732
660	1422	729
661	1424	727
662	1426	724
663	1427	722
664	1429	720
665	1431	717
666	1433	715
667	1435	713
668	1436	710
669	1438	708
670	1440	706
671	1441	703
672	1443	701
673	1444	698
674	1447	697
675	1449	694
676	1450	692
677	1452	689
678	1454	687
679	1455	684
680	1457	682
681	1458	680
682	1461	678
683	1462	675
684	1464	673
685	1466	671
686	1467	668
687	1469	666
688	1470	663
689	1472	661
690	1473	658
691	1476	657
692	1478	654
693	1480	652
694	1481	650
695	1483	647
696	1485	645
697	1486	643
698	1488	640
699	1491	639
700	1493	637
701	1495	634
